table,column,bins,table_column
title,t.id,"[1.00000000e+00 5.05672200e+04 1.01133440e+05 1.51699660e+05
 2.02265880e+05 2.52832100e+05 3.03398320e+05 3.53964540e+05
 4.04530760e+05 4.55096980e+05 5.05663200e+05 5.56229420e+05
 6.06795640e+05 6.57361860e+05 7.07928080e+05 7.58494300e+05
 8.09060520e+05 8.59626740e+05 9.10192960e+05 9.60759180e+05
 1.01132540e+06 1.06189162e+06 1.11245784e+06 1.16302406e+06
 1.21359028e+06 1.26415650e+06 1.31472272e+06 1.36528894e+06
 1.41585516e+06 1.46642138e+06 1.51698760e+06 1.56755382e+06
 1.61812004e+06 1.66868626e+06 1.71925248e+06 1.76981870e+06
 1.82038492e+06 1.87095114e+06 1.92151736e+06 1.97208358e+06
 2.02264980e+06 2.07321602e+06 2.12378224e+06 2.17434846e+06
 2.22491468e+06 2.27548090e+06 2.32604712e+06 2.37661334e+06
 2.42717956e+06 2.47774578e+06 2.52831200e+06]",title.t.id
title,t.kind_id,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2. 3. 3. 4. 4. 4. 7. 7. 7. 7.
 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7.
 7. 7. 7.]",title.t.kind_id
title,t.production_year,"[1880. 1913. 1923. 1942. 1955. 1960. 1964. 1968. 1971. 1975. 1978. 1982.
 1985. 1987. 1990. 1992. 1994. 1995. 1996. 1998. 1999. 2000. 2001. 2001.
 2002. 2003. 2004. 2004. 2005. 2005. 2006. 2006. 2007. 2007. 2007. 2008.
 2008. 2009. 2009. 2009. 2010. 2010. 2010. 2011. 2011. 2011. 2012. 2012.
 2012. 2013. 2019.]",title.t.production_year
movie_companies,mc.id,"[1.00000000e+00 5.21835600e+04 1.04366120e+05 1.56548680e+05
 2.08731240e+05 2.60913800e+05 3.13096360e+05 3.65278920e+05
 4.17461480e+05 4.69644040e+05 5.21826600e+05 5.74009160e+05
 6.26191720e+05 6.78374280e+05 7.30556840e+05 7.82739400e+05
 8.34921960e+05 8.87104520e+05 9.39287080e+05 9.91469640e+05
 1.04365220e+06 1.09583476e+06 1.14801732e+06 1.20019988e+06
 1.25238244e+06 1.30456500e+06 1.35674756e+06 1.40893012e+06
 1.46111268e+06 1.51329524e+06 1.56547780e+06 1.61766036e+06
 1.66984292e+06 1.72202548e+06 1.77420804e+06 1.82639060e+06
 1.87857316e+06 1.93075572e+06 1.98293828e+06 2.03512084e+06
 2.08730340e+06 2.13948596e+06 2.19166852e+06 2.24385108e+06
 2.29603364e+06 2.34821620e+06 2.40039876e+06 2.45258132e+06
 2.50476388e+06 2.55694644e+06 2.60912900e+06]",movie_companies.mc.id
movie_companies,mc.company_id,"[1.0000000e+00 6.0000000e+00 1.9000000e+01 2.7000000e+01 6.8000000e+01
 1.3300000e+02 1.6000000e+02 1.8900000e+02 2.9200000e+02 4.0200000e+02
 4.7600000e+02 6.1000000e+02 8.1000000e+02 1.1290000e+03 1.4270000e+03
 1.7000000e+03 2.1180000e+03 2.6900000e+03 3.4640000e+03 4.5990000e+03
 6.0290000e+03 7.4570000e+03 8.9250000e+03 1.0865000e+04 1.1153000e+04
 1.1318000e+04 1.1652000e+04 1.2319000e+04 1.3142000e+04 1.4120000e+04
 1.5149000e+04 1.7032000e+04 1.9067000e+04 2.2386000e+04 2.6795000e+04
 3.2380000e+04 4.0543000e+04 4.9123000e+04 6.0785280e+04 7.1223000e+04
 7.3232000e+04 7.6073000e+04 8.0289000e+04 8.6128000e+04 9.2300000e+04
 9.9222000e+04 1.1087100e+05 1.2927632e+05 1.5499488e+05 1.8974444e+05
 2.3499700e+05]",movie_companies.mc.company_id
movie_companies,mc.movie_id,"[2.00000000e+00 1.04911800e+05 1.94182000e+05 2.95563000e+05
 3.79025000e+05 4.99037800e+05 5.80476000e+05 6.84577000e+05
 7.93342480e+05 8.77453000e+05 9.80519000e+05 1.07904116e+06
 1.17060700e+06 1.26280928e+06 1.33436984e+06 1.39689200e+06
 1.47011692e+06 1.58056940e+06 1.64807300e+06 1.67709800e+06
 1.70662920e+06 1.73523100e+06 1.76177000e+06 1.78963500e+06
 1.81626544e+06 1.84400500e+06 1.87467800e+06 1.90258100e+06
 1.92992100e+06 1.95685200e+06 1.98441280e+06 2.01347480e+06
 2.04040092e+06 2.06569096e+06 2.09295800e+06 2.12098460e+06
 2.15026600e+06 2.17929344e+06 2.20891728e+06 2.23907384e+06
 2.26607140e+06 2.29417800e+06 2.32168600e+06 2.34863200e+06
 2.37155700e+06 2.39334000e+06 2.41607976e+06 2.44115500e+06
 2.46809288e+06 2.49729344e+06 2.52574500e+06]",movie_companies.mc.movie_id
movie_companies,mc.company_type_id,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2.
 2. 2. 2.]",movie_companies.mc.company_type_id
cast_info,ci.id,"[1.00000000e+00 7.24887860e+05 1.44977472e+06 2.17466158e+06
 2.89954844e+06 3.62443530e+06 4.34932216e+06 5.07420902e+06
 5.79909588e+06 6.52398274e+06 7.24886960e+06 7.97375646e+06
 8.69864332e+06 9.42353018e+06 1.01484170e+07 1.08733039e+07
 1.15981908e+07 1.23230776e+07 1.30479645e+07 1.37728513e+07
 1.44977382e+07 1.52226251e+07 1.59475119e+07 1.66723988e+07
 1.73972856e+07 1.81221725e+07 1.88470594e+07 1.95719462e+07
 2.02968331e+07 2.10217199e+07 2.17466068e+07 2.24714937e+07
 2.31963805e+07 2.39212674e+07 2.46461542e+07 2.53710411e+07
 2.60959280e+07 2.68208148e+07 2.75457017e+07 2.82705885e+07
 2.89954754e+07 2.97203623e+07 3.04452491e+07 3.11701360e+07
 3.18950228e+07 3.26199097e+07 3.33447966e+07 3.40696834e+07
 3.47945703e+07 3.55194571e+07 3.62443440e+07]",cast_info.ci.id
cast_info,ci.movie_id,"[1.00000000e+00 5.48740000e+04 1.05584000e+05 1.61492000e+05
 2.16566000e+05 2.79897000e+05 3.30190000e+05 3.79026000e+05
 4.38045000e+05 4.86553000e+05 5.42235000e+05 5.90973000e+05
 6.39999000e+05 7.03344000e+05 7.64273000e+05 8.14846000e+05
 8.61851000e+05 9.04285000e+05 9.57862000e+05 1.01257500e+06
 1.05681700e+06 1.10357206e+06 1.15450800e+06 1.20314300e+06
 1.26456400e+06 1.31145800e+06 1.36046300e+06 1.41815400e+06
 1.46685900e+06 1.52728800e+06 1.58364100e+06 1.64119600e+06
 1.69075600e+06 1.73860300e+06 1.78524100e+06 1.83028800e+06
 1.87750300e+06 1.92433900e+06 1.97077500e+06 2.01929100e+06
 2.06694400e+06 2.11289200e+06 2.15926300e+06 2.20836900e+06
 2.25578884e+06 2.30221300e+06 2.34459900e+06 2.38794000e+06
 2.43199900e+06 2.48006100e+06 2.52597500e+06]",cast_info.ci.movie_id
cast_info,ci.person_id,"[1.00000000e+00 7.74460000e+04 1.45798000e+05 2.12749580e+05
 2.81691000e+05 3.47240000e+05 4.19543000e+05 4.90567020e+05
 5.61647000e+05 6.29515000e+05 6.99950000e+05 7.79462000e+05
 8.56481000e+05 9.27356000e+05 9.97030000e+05 1.06813800e+06
 1.14103076e+06 1.21393200e+06 1.28917600e+06 1.35639600e+06
 1.42786600e+06 1.49943900e+06 1.57664300e+06 1.65047900e+06
 1.71978000e+06 1.79836600e+06 1.87724800e+06 1.96065100e+06
 2.03917700e+06 2.12038000e+06 2.21035300e+06 2.29207600e+06
 2.37218800e+06 2.45354000e+06 2.53581100e+06 2.61905200e+06
 2.70133096e+06 2.76243482e+06 2.82031100e+06 2.88222600e+06
 2.94377700e+06 3.00504200e+06 3.06437912e+06 3.16150800e+06
 3.26550300e+06 3.40527100e+06 3.51797600e+06 3.63757200e+06
 3.77770900e+06 3.92286300e+06 4.06192600e+06]",cast_info.ci.person_id
cast_info,ci.role_id,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  3.  3.  3.  3.  3.  3.  4.  4.
  4.  4.  5.  6.  8.  8.  8.  9. 10. 10. 10. 10. 10. 10. 11.]",cast_info.ci.role_id
movie_info_idx,mi_idx.id,"[1.00000000e+00 2.76016800e+04 5.52023600e+04 8.28030400e+04
 1.10403720e+05 1.38004400e+05 1.65605080e+05 1.93205760e+05
 2.20806440e+05 2.48407120e+05 2.76007800e+05 3.03608480e+05
 3.31209160e+05 3.58809840e+05 3.86410520e+05 4.14011200e+05
 4.41611880e+05 4.69212560e+05 4.96813240e+05 5.24413920e+05
 5.52014600e+05 5.79615280e+05 6.07215960e+05 6.34816640e+05
 6.62417320e+05 6.90018000e+05 7.17618680e+05 7.45219360e+05
 7.72820040e+05 8.00420720e+05 8.28021400e+05 8.55622080e+05
 8.83222760e+05 9.10823440e+05 9.38424120e+05 9.66024800e+05
 9.93625480e+05 1.02122616e+06 1.04882684e+06 1.07642752e+06
 1.10402820e+06 1.13162888e+06 1.15922956e+06 1.18683024e+06
 1.21443092e+06 1.24203160e+06 1.26963228e+06 1.29723296e+06
 1.32483364e+06 1.35243432e+06 1.38003500e+06]",movie_info_idx.mi_idx.id
movie_info_idx,mi_idx.movie_id,"[2.00000000e+00 8.10710000e+04 1.64222000e+05 2.54987080e+05
 3.46733720e+05 4.38201000e+05 5.22971000e+05 5.86238000e+05
 6.81408440e+05 7.80577000e+05 8.61761000e+05 9.41263000e+05
 1.04348616e+06 1.12455884e+06 1.19736900e+06 1.27491400e+06
 1.33699900e+06 1.40644556e+06 1.48357900e+06 1.58150800e+06
 1.64636700e+06 1.67827800e+06 1.70866696e+06 1.73747556e+06
 1.76627800e+06 1.79580200e+06 1.82393468e+06 1.85203000e+06
 1.88352448e+06 1.91345400e+06 1.94222200e+06 1.97221300e+06
 2.00276900e+06 2.03063200e+06 2.06081000e+06 2.08980080e+06
 2.11811848e+06 2.14843900e+06 2.17839600e+06 2.20771752e+06
 2.23730220e+06 2.26572700e+06 2.29422100e+06 2.32268124e+06
 2.35084184e+06 2.38026000e+06 2.40853700e+06 2.43795100e+06
 2.46794300e+06 2.49885132e+06 2.52579300e+06]",movie_info_idx.mi_idx.movie_id
movie_info_idx,mi_idx.info_type_id,"[ 99.  99.  99.  99.  99.  99.  99.  99.  99.  99.  99.  99.  99.  99.
  99.  99.  99. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 101. 101. 101. 101. 101. 101. 101. 101.
 101. 101. 101. 101. 101. 101. 101. 101. 113.]",movie_info_idx.mi_idx.info_type_id
movie_info,mi.id,"[1.00000000e+00 2.96715380e+05 5.93429760e+05 8.90144140e+05
 1.18685852e+06 1.48357290e+06 1.78028728e+06 2.07700166e+06
 2.37371604e+06 2.67043042e+06 2.96714480e+06 3.26385918e+06
 3.56057356e+06 3.85728794e+06 4.15400232e+06 4.45071670e+06
 4.74743108e+06 5.04414546e+06 5.34085984e+06 5.63757422e+06
 5.93428860e+06 6.23100298e+06 6.52771736e+06 6.82443174e+06
 7.12114612e+06 7.41786050e+06 7.71457488e+06 8.01128926e+06
 8.30800364e+06 8.60471802e+06 8.90143240e+06 9.19814678e+06
 9.49486116e+06 9.79157554e+06 1.00882899e+07 1.03850043e+07
 1.06817187e+07 1.09784331e+07 1.12751474e+07 1.15718618e+07
 1.18685762e+07 1.21652906e+07 1.24620050e+07 1.27587193e+07
 1.30554337e+07 1.33521481e+07 1.36488625e+07 1.39455769e+07
 1.42422912e+07 1.45390056e+07 1.48357200e+07]",movie_info.mi.id
movie_info,mi.movie_id,"[1.00000000e+00 1.12225000e+05 2.16062760e+05 3.15018000e+05
 4.30227520e+05 5.37767900e+05 6.31732280e+05 7.51537000e+05
 8.49118000e+05 9.46033000e+05 1.06117500e+06 1.16827818e+06
 1.26987900e+06 1.34014894e+06 1.41905832e+06 1.52158270e+06
 1.63418900e+06 1.66040200e+06 1.68771984e+06 1.71555300e+06
 1.74193200e+06 1.76751200e+06 1.79363100e+06 1.82137900e+06
 1.84874700e+06 1.87813200e+06 1.90371700e+06 1.92998100e+06
 1.95547100e+06 1.98195000e+06 2.00873900e+06 2.03859600e+06
 2.06598500e+06 2.09291000e+06 2.12014200e+06 2.14743300e+06
 2.17556100e+06 2.20382900e+06 2.23206800e+06 2.25783200e+06
 2.28523820e+06 2.31052058e+06 2.33692400e+06 2.35927900e+06
 2.37933400e+06 2.39932400e+06 2.41966100e+06 2.44315700e+06
 2.47043600e+06 2.49809600e+06 2.52643000e+06]",movie_info.mi.movie_id
movie_info,mi.info_type_id,"[  1.   1.   1.   2.   2.   2.   2.   2.   3.   3.   3.   3.   3.   4.
   4.   4.   4.   5.   5.   6.   7.   7.   7.   7.   7.   8.   8.   8.
   8.   8.  13.  15.  15.  16.  16.  16.  16.  16.  16.  16.  16.  16.
  16.  17.  18.  18.  42.  96.  98. 106. 110.]",movie_info.mi.info_type_id
movie_keyword,mk.id,"[1.00000000e+00 9.04795800e+04 1.80958160e+05 2.71436740e+05
 3.61915320e+05 4.52393900e+05 5.42872480e+05 6.33351060e+05
 7.23829640e+05 8.14308220e+05 9.04786800e+05 9.95265380e+05
 1.08574396e+06 1.17622254e+06 1.26670112e+06 1.35717970e+06
 1.44765828e+06 1.53813686e+06 1.62861544e+06 1.71909402e+06
 1.80957260e+06 1.90005118e+06 1.99052976e+06 2.08100834e+06
 2.17148692e+06 2.26196550e+06 2.35244408e+06 2.44292266e+06
 2.53340124e+06 2.62387982e+06 2.71435840e+06 2.80483698e+06
 2.89531556e+06 2.98579414e+06 3.07627272e+06 3.16675130e+06
 3.25722988e+06 3.34770846e+06 3.43818704e+06 3.52866562e+06
 3.61914420e+06 3.70962278e+06 3.80010136e+06 3.89057994e+06
 3.98105852e+06 4.07153710e+06 4.16201568e+06 4.25249426e+06
 4.34297284e+06 4.43345142e+06 4.52393000e+06]",movie_keyword.mk.id
