table,column,bins,table_column
call_center,cc.cc_call_center_sk,"[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7
 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5
 4.6 4.7 4.8 4.9 5.  5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]",call_center.cc.cc_call_center_sk
call_center,cc.cc_call_center_id,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_call_center_id
call_center,cc.cc_rec_start_date,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_rec_start_date
call_center,cc.cc_rec_end_date,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_rec_end_date
call_center,cc.cc_closed_date_sk,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_closed_date_sk
call_center,cc.cc_open_date_sk,"[2450806.  2450806.  2450806.  2450806.  2450806.  2450806.  2450806.
 2450806.  2450806.  2450806.  2450806.  2450820.6 2450835.2 2450849.8
 2450864.4 2450879.  2450893.6 2450908.2 2450922.8 2450937.4 2450952.
 2450963.1 2450974.2 2450985.3 2450996.4 2451007.5 2451018.6 2451029.7
 2451040.8 2451051.9 2451063.  2451063.  2451063.  2451063.  2451063.
 2451063.  2451063.  2451063.  2451063.  2451063.  2451063.  2451063.
 2451063.  2451063.  2451063.  2451063.  2451063.  2451063.  2451063.
 2451063.  2451063. ]",call_center.cc.cc_open_date_sk
call_center,cc.cc_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_name
call_center,cc.cc_class,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_class
call_center,cc.cc_employees,"[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7
 2.8 2.9 3.  3.3 3.6 3.9 4.2 4.5 4.8 5.1 5.4 5.7 6.  6.  6.  6.  6.  6.
 6.  6.  6.  6.  6.  6.1 6.2 6.3 6.4 6.5 6.6 6.7 6.8 6.9 7. ]",call_center.cc.cc_employees
call_center,cc.cc_sq_ft,"[ 649.   663.6  678.2  692.8  707.4  722.   736.6  751.2  765.8  780.4
  795.   829.3  863.6  897.9  932.2  966.5 1000.8 1035.1 1069.4 1103.7
 1138.  1251.  1364.  1477.  1590.  1703.  1816.  1929.  2042.  2155.
 2268.  2392.6 2517.2 2641.8 2766.4 2891.  3015.6 3140.2 3264.8 3389.4
 3514.  3576.  3638.  3700.  3762.  3824.  3886.  3948.  4010.  4072.
 4134. ]",call_center.cc.cc_sq_ft
call_center,cc.cc_hours,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_hours
call_center,cc.cc_manager,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_manager
call_center,cc.cc_mkt_id,"[2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.
 2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.3 2.6 2.9 3.2 3.5
 3.8 4.1 4.4 4.7 5.  5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]",call_center.cc.cc_mkt_id
call_center,cc.cc_mkt_class,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_mkt_class
call_center,cc.cc_mkt_desc,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_mkt_desc
call_center,cc.cc_market_manager,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_market_manager
call_center,cc.cc_division,"[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.1 3.2 3.3 3.4 3.5 3.6 3.7
 3.8 3.9 4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.1 4.2 4.3 4.4 4.5
 4.6 4.7 4.8 4.9 5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5. ]",call_center.cc.cc_division
call_center,cc.cc_division_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_division_name
call_center,cc.cc_company,"[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7
 2.8 2.9 3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.
 3.  3.  3.  3.  3.  3.3 3.6 3.9 4.2 4.5 4.8 5.1 5.4 5.7 6. ]",call_center.cc.cc_company
call_center,cc.cc_company_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_company_name
call_center,cc.cc_street_number,"[463.  463.  463.  463.  463.  463.  463.  463.  463.  463.  463.  463.
 463.  463.  463.  463.  463.  463.  463.  463.  463.  489.7 516.4 543.1
 569.8 596.5 623.2 649.9 676.6 703.3 730.  755.4 780.8 806.2 831.6 857.
 882.4 907.8 933.2 958.6 984.  984.  984.  984.  984.  984.  984.  984.
 984.  984.  984. ]",call_center.cc.cc_street_number
call_center,cc.cc_street_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_street_name
call_center,cc.cc_street_type,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_street_type
call_center,cc.cc_suite_number,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",call_center.cc.cc_suite_number
