name,min,max
web.web_tax_percentage,0.0,0.12
web.web_site_sk,1.0,34.0
web.web_rec_start_date,0.0,0.0
web.web_rec_end_date,0.0,0.0
web.web_open_date_sk,2450526.0,2450807.0
web.web_close_date_sk,2446876.0,2448956.0
web.web_mkt_id,1.0,6.0
web.web_company_id,1.0,6.0
web.web_gmt_offset,-5.0,-5.0
web.web_suite_number,0.0,0.0
web.web_city,0.0,0.0
web.web_name,0.0,0.0
web.web_county,0.0,0.0
web.web_state,0.0,0.0
web.web_class,0.0,0.0
web.web_manager,0.0,0.0
web.web_zip,31904.0,38370.0
web.web_mkt_class,0.0,0.0
web.web_mkt_desc,0.0,0.0
web.web_market_manager,0.0,0.0
web.web_country,0.0,0.0
web.web_company_name,0.0,0.0
web.web_street_number,51.0,973.0
web.web_street_name,0.0,0.0
web.web_street_type,0.0,0.0
web.web_site_id,0.0,0.0
i.i_manager_id,1.0,100.0
i.i_item_sk,1.0,46000.0
i.i_rec_start_date,0.0,0.0
i.i_rec_end_date,0.0,0.0
i.i_current_price,0.09,99.99
i.i_wholesale_cost,0.02,87.71
i.i_brand_id,1001001.0,10016017.0
i.i_class_id,1.0,16.0
i.i_category_id,1.0,10.0
i.i_manufact_id,1.0,1000.0
i.i_item_id,0.0,0.0
i.i_item_desc,0.0,0.0
i.i_brand,0.0,0.0
i.i_class,0.0,0.0
i.i_category,0.0,0.0
i.i_manufact,0.0,0.0
i.i_size,0.0,0.0
i.i_formulation,0.0,0.0
i.i_color,0.0,0.0
i.i_units,0.0,0.0
i.i_container,0.0,0.0
i.i_product_name,0.0,0.0
p.p_promo_sk,1.0,366.0
p.p_start_date_sk,2450100.0,2450913.0
p.p_end_date_sk,2450132.0,2450955.0
p.p_item_sk,217.0,45832.0
p.p_cost,1000.0,1000.0
p.p_response_target,1.0,1.0
p.p_promo_id,0.0,0.0
p.p_promo_name,0.0,0.0
p.p_channel_dmail,0.0,0.0
p.p_channel_email,0.0,0.0
p.p_channel_catalog,0.0,0.0
p.p_channel_tv,0.0,0.0
p.p_channel_radio,0.0,0.0
p.p_channel_press,0.0,0.0
p.p_channel_event,0.0,0.0
p.p_channel_demo,0.0,0.0
p.p_channel_details,0.0,0.0
p.p_purpose,0.0,0.0
p.p_discount_active,0.0,0.0
r.r_reason_sk,1.0,38.0
r.r_reason_id,0.0,0.0
r.r_reason_desc,0.0,0.0
sm.sm_ship_mode_sk,1.0,20.0
sm.sm_ship_mode_id,0.0,0.0
sm.sm_type,0.0,0.0
sm.sm_code,0.0,0.0
sm.sm_carrier,0.0,0.0
sm.sm_contract,0.0,0.0
s.s_store_sk,1.0,42.0
s.s_rec_start_date,0.0,0.0
s.s_rec_end_date,0.0,0.0
s.s_closed_date_sk,2450867.0,2451267.0
s.s_number_employees,200.0,297.0
s.s_floor_space,5219562.0,9810608.0
s.s_market_id,1.0,10.0
s.s_division_id,1.0,1.0
s.s_company_id,1.0,1.0
s.s_gmt_offset,-5.0,-5.0
s.s_tax_precentage,0.01,0.11
s.s_division_name,0.0,0.0
s.s_company_name,0.0,0.0
s.s_street_number,27.0,902.0
s.s_street_name,0.0,0.0
s.s_street_type,0.0,0.0
s.s_suite_number,0.0,0.0
s.s_city,0.0,0.0
s.s_county,0.0,0.0
s.s_state,0.0,0.0
s.s_zip,31904.0,38370.0
s.s_country,0.0,0.0
s.s_store_id,0.0,0.0
s.s_store_name,0.0,0.0
s.s_hours,0.0,0.0
s.s_manager,0.0,0.0
s.s_geography_class,0.0,0.0
s.s_market_desc,0.0,0.0
s.s_market_manager,0.0,0.0
sr.sr_returned_date_sk,2450820.0,2452822.0
sr.sr_return_time_sk,28799.0,61199.0
sr.sr_item_sk,1.0,46000.0
sr.sr_customer_sk,1.0,233000.0
sr.sr_cdemo_sk,1.0,1920800.0
sr.sr_hdemo_sk,1.0,7200.0
sr.sr_addr_sk,1.0,116000.0
sr.sr_store_sk,1.0,40.0
sr.sr_reason_sk,1.0,38.0
sr.sr_ticket_number,1.0,960000.0
sr.sr_return_quantity,1.0,100.0
sr.sr_return_amt,0.0,17520.44
sr.sr_return_tax,0.0,1576.83
sr.sr_return_amt_inc_tax,0.0,19097.27
sr.sr_fee,0.5,100.0
sr.sr_return_ship_cost,0.0,8642.48
sr.sr_refunded_cash,0.0,16550.24
sr.sr_reversed_charge,0.0,12683.06
sr.sr_store_credit,0.0,13098.29
sr.sr_net_loss,0.5,9892.39
ss.ss_sold_date_sk,2450816.0,2452642.0
ss.ss_sold_time_sk,28800.0,75599.0
ss.ss_item_sk,1.0,46000.0
ss.ss_customer_sk,1.0,233000.0
ss.ss_cdemo_sk,1.0,1920800.0
ss.ss_hdemo_sk,1.0,7200.0
