table,column,bins,table_column
web_site,web.web_tax_percentage,"[0.     0.0066 0.01   0.01   0.01   0.01   0.01   0.01   0.0128 0.0194
 0.032  0.04   0.04   0.04   0.04   0.04   0.0456 0.0544 0.0676 0.07
 0.07   0.07   0.07   0.07   0.07   0.07   0.07   0.07   0.07   0.07
 0.07   0.07   0.07   0.07   0.0744 0.08   0.08   0.08   0.08   0.08
 0.08   0.0806 0.0872 0.0938 0.1004 0.107  0.1136 0.12   0.12   0.12
 0.12  ]",web_site.web.web_tax_percentage
web_site,web.web_site_sk,"[ 1.    1.66  2.32  2.98  3.64  4.3   4.96  5.62  6.28  6.94  7.6   8.26
  8.92  9.58 10.24 10.9  11.56 12.22 12.88 13.54 14.2  14.86 15.52 16.18
 16.84 17.5  18.16 18.82 19.48 20.14 20.8  21.46 22.12 22.78 23.44 24.1
 24.76 25.42 26.08 26.74 27.4  28.06 28.72 29.38 30.04 30.7  31.36 32.02
 32.68 33.34 34.  ]",web_site.web.web_site_sk
web_site,web.web_rec_start_date,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",web_site.web.web_rec_start_date
web_site,web.web_rec_end_date,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",web_site.web.web_rec_end_date
web_site,web.web_open_date_sk,"[2450526.   2450537.22 2450543.   2450543.   2450548.76 2450559.5
 2450576.   2450577.   2450577.   2450577.   2450587.2  2450594.
 2450594.   2450599.22 2450609.   2450625.5  2450628.   2450628.
 2450628.   2450637.18 2450645.   2450645.   2450649.68 2450658.5
 2450675.   2450679.   2450679.   2450679.   2450687.16 2450696.
 2450696.   2450700.14 2450708.   2450724.5  2450730.   2450730.
 2450730.   2450737.14 2450747.   2450747.   2450750.6  2450757.5
 2450774.   2450781.   2450781.   2450781.   2450787.12 2450798.
 2450798.   2450801.06 2450807.  ]",web_site.web.web_open_date_sk
web_site,web.web_close_date_sk,"[2446876.   2446912.72 2446944.   2446944.   2446949.44 2446967.8
 2446978.   2446978.   2446978.   2446978.   2447005.2  2447041.92
 2447046.   2447046.68 2447065.04 2447080.   2447080.   2447080.
 2447080.   2447097.68 2447134.4  2447148.   2447148.   2447807.4
 2448655.2  2448718.   2448719.36 2448737.72 2448752.   2448752.
 2448752.   2448752.   2448771.04 2448807.76 2448820.   2448820.
 2448834.96 2448853.32 2448854.   2448854.   2448854.   2448863.52
 2448900.24 2448922.   2448922.   2448932.2  2448950.56 2448956.
 2448956.   2448956.   2448956.  ]",web_site.web.web_close_date_sk
web_site,web.web_mkt_id,"[1.   1.66 2.   2.   2.   2.   2.   2.   2.   2.   2.6  3.   3.   3.
 3.   3.   3.   3.22 3.88 4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.14 4.8  5.   5.   5.   5.   5.   5.   5.   5.   5.   5.   5.
 5.   5.   5.   5.   5.36 6.   6.   6.   6.  ]",web_site.web.web_mkt_id
web_site,web.web_company_id,"[1.   1.   1.   1.   1.   1.3  1.96 2.   2.   2.   2.   2.   2.   2.
 2.   2.   2.   2.22 2.88 3.   3.   3.   3.   3.18 3.84 4.   4.   4.
 4.   4.14 4.8  5.   5.   5.   5.   5.   5.   5.   5.   5.   5.   5.
 5.   5.   5.04 5.7  6.   6.   6.   6.   6.  ]",web_site.web.web_company_id
web_site,web.web_gmt_offset,"[-5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5.
 -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5.
 -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5. -5.]",web_site.web.web_gmt_offset
web_site,web.web_suite_number,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",web_site.web.web_suite_number
